id,agem,agefem,agediff,ageratio,sex,camp,hh,capitalm,capitalfem,capitaldiff,capitalratio,leisurem,leisurem_count,leisurefem,leisurefem_count,leisurediff,leisurediff_count,leisurediff_count,leisureratio,leisureratio_count,children,,Apropm,Apropfem,A_countm,A_countfem,num.shown_m,num.shown_fem,prop.sharedm,prop.sharedfem,prop.shared.diff,prop.shared.ratio,Gift.Z.m,Gift.Z.fem,num.live.with.m,num.live.with.fem,camp.N.m,camp.N.fem,prop.live.with.m,prop.live.with.fem,prop.live.with.diff,prop.live.with.ratio,Live.With.Z.m,Live.With.Z.fem
[A54425],31.30629,23.16,8.14629,1.351739637,M,Simento,5401,-1.550731694,1.815197564,-3.365929258,-0.854304636,16.66666667,4,21.73913043,5,-5.07246376,-1,-1,0.433962264,0.444444444,3,,29.16666667,26.08695652,7,6,6,6,0.166666667,1,-0.833333333,0.142857143,-1.550731694,1.815197564,3,2,7,7,0.428571429,0.285714286,0.142857143,0.6,1.620185175,-0.540061725
[A54433],35.239013,26.079014,9.159999,1.351240235,M,Diabut,5403,-1.533683472,0.700089058,-2.23377253,-2.190697675,27.02702703,10,22.5,9,4.52702703,1,1,0.545702592,0.526315789,3,,21.62162162,32.5,8,13,8,6,0.375,0.666666667,-0.291666667,0.36,-1.533683472,0.700089058,5,5,14,14,0.357142857,0.357142857,0,0.5,1.036751286,1.036751286
[A54438],27.176626,22.289615,4.887011,1.219250579,M,Simento,5404,0.084148231,-0.204359991,0.288508222,-0.411764703,17.39130435,4,12.5,3,4.89130435,1,1,0.581818182,0.571428571,2,,8.695652174,25,2,6,7,6,0.571428571,0.5,0.071428571,0.533333333,0.084148231,-0.204359991,2,2,7,7,0.285714286,0.285714286,0,0.5,-0.540061725,-0.540061725
[A54445],51.41518,53.575803,-2.160623,0.959671664,M,Simento,5405,-0.204359991,0.468825861,-0.673185852,-0.435897437,27.77777778,5,16.66666667,4,11.11111111,1,1,0.625,0.555555556,3,,38.88888889,25,7,6,6,6,0.5,0.666666667,-0.166666667,0.428571428,-0.204359991,0.468825861,2,2,7,7,0.285714286,0.285714286,0,0.5,-0.540061725,-0.540061725
[A54461],51,50,1,1.02,M,Simento,5407,0.468825861,-0.877545842,1.346371703,-0.534246576,35,7,9.523809524,2,25.47619048,5,5,0.786096257,0.777777778,7,,30,9.523809524,6,2,6,6,0.666666667,0.333333333,0.333333334,0.666666667,0.468825861,-0.877545842,3,2,7,7,0.428571429,0.285714286,0.142857143,0.6,1.620185175,-0.540061725
[A58618],39.653202,36.193327,3.459875,1.095594279,M,Kanaipang,5801,-1.274896692,-1.031232445,-0.243664247,1.236284504,36.11111111,13,26.47058824,9,9.64052287,4,4,0.577023499,0.590909091,6,,16.66666667,14.70588235,6,5,9,7,0.111111111,0.142857143,-0.031746032,0.4375,-1.274896692,-1.031232445,3,7,46,46,0.065217391,0.152173913,-0.086956522,0.299999999,-0.237961816,1.057608073
[A62546],35.606552,36.460461,-0.853909,0.976579863,M,Dinipan,6202,-1.692243609,-0.47382821,-1.218415399,3.571428575,37.5,9,39.13043478,9,-1.63043478,0,0,0.489361702,0.5,6,,20.83333333,26.08695652,5,6,8,8,0.125,0.375,-0.25,0.25,-1.692243609,-0.47382821,2,1,7,7,0.285714286,0.142857143,0.142857143,0.666666667,0.23570226,-0.471404521
[A62563],50.125443,46.667627,3.457816,1.074094532,M,Dinipan,6203,1.963002586,0.135379489,1.827623097,14.49999997,18.18181818,4,26.08695652,6,-7.90513834,-2,-2,0.410714286,0.4,4,,9.090909091,17.39130435,2,4,8,8,0.875,0.5,0.375,0.636363636,1.963002586,0.135379489,3,0,7,7,0.428571429,0,0.428571429,1,0.942809042,-1.178511302
[A66160],23.971906,20.773998,3.197908,1.153938014,M,Diago,6601,1.662186596,-0.049105813,1.711292409,-33.84908007,46.80851064,22,25,12,21.80851064,10,10,0.651851852,0.647058824,2,,19.14893617,20.83333333,9,10,10,13,0.8,0.384615385,0.415384615,0.675324675,1.662186596,-0.049105813,8,5,26,26,0.307692308,0.192307692,0.115384616,0.615384616,1.656528544,0.39154311
[A66040],23.289649,23.919095,-0.629446,0.973684372,M,Diago,6602,0.288927255,-0.260376481,0.549303736,-1.109651893,38.63636364,17,31.11111111,14,7.52525253,3,3,0.553946416,0.548387097,3,,27.27272727,17.77777778,12,8,15,6,0.466666667,0.333333333,0.133333334,0.583333334,0.288927255,-0.260376481,3,7,26,26,0.115384615,0.269230769,-0.153846154,0.299999999,-0.451780512,1.234866733
[A66168],64.089444,57.677601,6.411843,1.11116695,M,Diago,6603,-1.221658019,-1.118663569,-0.10299445,1.092069191,55.17241379,16,65.51724138,19,-10.34482759,-3,-3,0.457142857,0.457142857,0,,34.48275862,31.03448276,10,9,10,8,0.1,0.125,-0.025,0.444444444,-1.221658019,-1.118663569,1,0,26,26,0.038461538,0,0.038461538,1,-1.295104134,-1.716765945
[A66046],46.210606,45.09591,1.114696,1.024718339,M,Diago,6607,-0.088719063,0.941225442,-1.029944505,-0.0942591,57.69230769,15,40.90909091,9,16.78321678,6,6,0.585106383,0.625,0,,15.38461538,36.36363636,4,8,8,8,0.375,0.625,-0.25,0.375,-0.088719063,0.941225442,5,3,26,26,0.192307692,0.115384615,0.076923077,0.625,0.39154311,-0.451780512
[A66001],31.043647,30.709233,0.334414,1.010889689,M,Diago,6608,0.563579124,0.082938354,0.48064077,6.795156846,28.57142857,12,20,9,8.57142857,3,3,0.588235294,0.571428571,3,,26.19047619,26.66666667,11,12,15,12,0.533333333,0.416666667,0.116666666,0.561403508,0.563579124,0.082938354,9,7,26,26,0.346153846,0.269230769,0.076923077,0.5625,2.078190355,1.234866733
[A66009],61.930971,50.716094,11.214877,1.221130535,M,Diago,6609,-0.510059997,-0.260376481,-0.249683516,1.958932677,46.15384615,12,59.25925926,16,-13.10541311,-4,-4,0.437837838,0.428571429,3,,38.46153846,29.62962963,10,8,11,9,0.272727273,0.333333333,-0.06060606,0.45,-0.510059997,-0.260376481,4,4,26,26,0.153846154,0.153846154,0,0.5,-0.030118701,-0.030118701
[A66034],20.476072,18.91,1.566072,1.082817134,M,Diago,6610,0.655129746,-0.456556387,1.111686133,-1.434937205,38.46153846,10,42.30769231,11,-3.84615385,-1,-1,0.476190476,0.476190476,1,,30.76923077,26.92307692,8,7,9,7,0.555555556,0.285714286,0.26984127,0.660377358,0.655129746,-0.456556387,3,2,26,26,0.115384615,0.076923077,0.038461538,0.599999999,-0.451780512,-0.873442323
[A66016],44.835551,35.426478,9.409073,1.265594367,M,Diago,6612,-0.809680217,-0.397702415,-0.411977802,2.035894645,46.15384615,18,31.70731707,13,14.44652908,5,5,0.592771084,0.580645161,4,,33.33333333,46.34146341,13,19,10,10,0.2,0.3,-0.1,0.4,-0.809680217,-0.397702415,1,5,26,26,0.038461538,0.192307692,-0.153846154,0.166666665,-1.295104134,0.39154311
[A66024],27.571795,25.45,2.121795,1.08337112,M,Diago,6613,-1.633635822,1.309062766,-2.942698588,-1.247943081,60,27,56.52173913,26,3.47826087,1,1,0.514925373,0.509433962,3,,13.33333333,23.91304348,6,11,8,7,0,0.714285714,-0.714285714,0,-1.633635822,1.309062766,7,5,26,26,0.269230769,0.192307692,0.076923077,0.583333334,1.234866733,0.39154311
[A67050],40.794355,34.176915,6.61744,1.193623093,M,Diago,67.104,2.486142201,1.897602483,0.588539718,1.310149108,60.86956522,28,45.45454545,20,15.41501977,8,8,0.572490706,0.935064935,5,,21.73913043,22.72727273,10,10,5,7,1,0.857142857,0.142857143,0.538461539,2.486142201,1.897602483,6,7,26,26,0.230769231,0.269230769,-0.038461538,0.461538462,0.813204921,1.234866733
[A67094],47.918799,48.671077,-0.752278,0.984543634,M,Diago,67.107,-1.290320987,-0.260376481,-1.029944506,4.955597303,45,9,50,14,-5,-5,-5,0.473684211,0.391304348,1,,55,17.85714286,11,5,12,12,0.083333333,0.333333333,-0.25,0.2,-1.290320987,-0.260376481,4,4,26,26,0.153846154,0.153846154,0,0.5,-0.030118701,-0.030118701
[A67075],40.611318,27.5069,13.104418,1.476404757,M,Dipaguiden,67.111,1.57666601,-0.551833103,2.128499113,-2.85714286,26.08695652,6,26.31578947,5,-0.22883295,1,1,0.497816594,0.545454545,5,,4.347826087,31.57894737,1,6,10,10,0.1,0,0.1,1,1.57666601,-0.551833103,3,3,11,11,0.272727273,0.272727273,0,0.5,0.109108945,0.109108945
[A671222],25.5,21.5,4,1.186046512,M,Dipaguiden,NEW 6,-0.551833103,-0.551833103,0,1,28.57142857,6,31.57894737,6,-3.0075188,0,0,0.475,0.5,0,,4.761904762,21.05263158,1,4,11,11,0,0,0,0,-0.551833103,-0.551833103,3,3,11,11,0.272727273,0.272727273,0,0.5,0.109108945,0.109108945
[A67125],26.052643,20.434141,5.618502,1.274956603,M,Didikeg,6802/67.201,-0.063999923,-0.063999923,0,1,26.66666667,8,31.42857143,11,-4.76190476,-3,-3,0.459016393,0.421052632,5,,13.33333333,20,4,7,14,14,0.214285714,0.214285714,0,0.5,-0.063999923,-0.063999923,6,6,18,18,0.333333333,0.333333333,0,0.5,1.310056681,1.310056681
[A67120],26.871146,25.757228,1.113918,1.043246812,M,Didikeg,6803/67.202,0.163701242,1.120046136,-0.956344894,0.146155803,55.26315789,21,38.46153846,15,16.80161943,6,6,0.589632829,0.583333333,0,,5.263157895,15.38461538,2,6,12,10,0.25,0.4,-0.15,0.384615385,0.163701242,1.120046136,6,5,18,18,0.333333333,0.277777778,0.055555555,0.545454545,1.310056681,0.705415136
[A67132],42.118708,41.455268,0.66344,1.016003756,M,Didikeg,67.205,-0.155080389,-0.721803288,0.566722899,0.21485132,27.27272727,6,17.39130435,4,9.88142292,2,2,0.610619469,0.6,4,,13.63636364,30.43478261,3,7,10,9,0.2,0.111111111,0.088888889,0.642857143,-0.155080389,-0.721803288,4,5,18,18,0.222222222,0.277777778,-0.055555556,0.444444444,0.100773591,0.705415136
[A67170],28.390677,23.586951,4.803726,1.20366032,M,Didikeg,67.207,-1.430206913,-0.850603947,-0.579602966,1.681401689,56.41025641,22,35.29411765,12,21.11613876,10,10,0.615131579,0.647058824,2,,7.692307692,7.692307692,3,2,6,11,0,0.090909091,-0.090909091,0,-1.430206913,-0.850603947,4,5,18,18,0.222222222,0.277777778,-0.055555556,0.444444444,0.100773591,0.705415136
[A741047],30,24,6,1.25,M,Kanaipang,7400,0.430753036,0.942447954,-0.511694918,0.457057638,11.42857143,4,3.03030303,1,8.3982684,3,3,0.790419162,0.8,0,,8.571428571,27.27272727,3,9,12,10,0.333333333,0.4,-0.066666667,0.454545454,0.430753036,0.942447954,1,5,46,46,0.02173913,0.108695652,-0.086956522,0.166666664,-0.885746761,0.409823128
[A74247],46.919969,40.92265572,5.99731328,1.146552397,M,Kanaipang,7401,2.136402763,-0.356469916,2.492872679,-5.993220373,32.14285714,9,34.21052632,13,-2.06766918,-4,-4,0.484419263,0.409090909,3,,32.14285714,15.78947368,9,6,9,13,0.555555556,0.230769231,0.324786325,0.706521739,2.136402763,-0.356469916,1,0,46,46,0.02173913,0,0.02173913,1,-0.885746761,-1.209639233
[A74267],30.222873,29.024711,1.198162,1.041280756,M,Kanaipang,7402,2.05887323,1.070371684,0.988501546,1.923512422,6.451612903,2,28.125,9,-21.6733871,-7,-7,0.186588921,0.181818182,5,,12.90322581,9.375,4,3,11,12,0.545454545,0.416666667,0.128787878,0.566929133,2.05887323,1.070371684,8,12,46,46,0.173913043,0.260869565,-0.086956522,0.4,1.381500545,2.677070435
[A74294],31.438473,37,-5.561527,0.849688459,M,Kanaipang,7404,1.709990332,-0.592636801,2.302627133,-2.88539343,4.761904762,1,25.92592593,7,-21.16402117,-6,-6,0.155172414,0.125,4,,14.28571429,14.81481481,3,4,8,5,0.5,0.2,0.3,0.714285714,1.709990332,-0.592636801,6,4,46,46,0.130434783,0.086956522,0.043478261,0.6,0.733715601,0.085930656
[A74235],43.211687,37.072435,6.139252,1.165601531,M,Kanaipang,7405,-0.422071828,0.174905577,-0.596977405,-2.413141052,48.48484848,16,22.85714286,8,25.62770562,8,8,0.67961165,0.666666667,4,,36.36363636,54.28571429,12,19,9,10,0.222222222,0.3,-0.077777778,0.425531915,-0.422071828,0.174905577,9,4,46,46,0.195652174,0.086956522,0.108695652,0.692307692,1.705393018,0.085930656
[A74245],26.634353,20,6.634353,1.33171765,M,Kanaipang,7405,1.161745776,-0.422071828,1.583817604,-2.75248358,12.90322581,4,21.21212121,7,-8.3088954,-3,-3,0.378223496,0.363636364,1,,22.58064516,48.48484848,7,16,7,9,0.428571429,0.222222222,0.206349207,0.658536586,1.161745776,-0.422071828,3,2,46,46,0.065217391,0.043478261,0.02173913,0.599999998,-0.237961816,-0.561854289
[A74286],77.334863,68.90559,8.429273,1.122330757,M,Kanaipang,7406,-1.031232445,-0.732189961,-0.299042484,1.408421994,57.89473684,11,38.88888889,7,19.00584795,4,4,0.598187311,0.611111111,0,,36.84210526,22.22222222,7,4,7,11,0.142857143,0.181818182,-0.038961039,0.44,-1.031232445,-0.732189961,3,1,46,46,0.065217391,0.02173913,0.043478261,0.750000003,-0.237961816,-0.885746761
[A74277],35.023133,27.309277,7.713856,1.282462842,M,Kanaipang,7409,-0.208865612,0.174905577,-0.383771189,-1.194162105,44.44444444,16,61.11111111,22,-16.66666667,-6,-6,0.421052632,0.421052632,3,,13.88888889,25,5,9,7,11,0.142857143,0.181818182,-0.038961039,0.44,-1.031232445,-0.732189961,3,1,46,46,0.065217391,0.02173913,0.043478261,0.750000003,-0.237961816,-0.885746761
[A74252],55.926106,51.426421,4.499685,1.087497534,M,Kanaipang,7412,1.709990332,-0.422071828,2.13206216,-4.051420205,27.77777778,10,36.36363636,12,-8.58585858,-2,-2,0.433070866,0.454545455,3,,16.66666667,54.54545455,6,18,8,9,0.5,0.222222222,0.277777778,0.692307693,1.709990332,-0.422071828,7,2,46,46,0.152173913,0.043478261,0.108695652,0.777777777,1.057608073,-0.561854289
[A74265],49.139992,38.137595,11.002397,1.288492156,M,Kanaipang,7416,-1.031232445,-1.168293584,0.137061139,0.882682623,27.77777778,10,18.18181818,6,9.5959596,4,4,0.604395604,0.625,5,,25,24.24242424,9,8,7,8,0.142857143,0.125,0.017857143,0.533333334,-1.031232445,-1.168293584,1,1,46,46,0.02173913,0.02173913,0,0.5,-0.885746761,-0.885746761
[A74221],51.331363,47.019089,4.312274,1.091713261,M,Kanaipang,7421,-0.208865612,1.2835779,-1.492443512,-0.162721415,42.85714286,12,37.5,12,5.35714286,0,0,0.533333333,0.5,4,,28.57142857,37.5,8,12,8,9,0.25,0.444444444,-0.194444444,0.36,-0.208865612,1.2835779,5,4,46,46,0.108695652,0.086956522,0.02173913,0.555555554,0.409823128,0.085930656
[A74209],67.324763,72.795455,-5.470692,0.92484844,M,Kanaipang,7425,-0.422071828,0.430753036,-0.852824864,-0.979846438,28.57142857,10,57.14285714,20,-28.57142857,-10,-10,0.333333333,0.333333333,0,,37.14285714,37.14285714,13,13,9,9,0.222222222,0.333333333,-0.111111111,0.4,-0.422071828,0.430753036,7,1,46,46,0.152173913,0.02173913,0.130434783,0.875000002,1.057608073,-0.885746761
[A74196],48,44.029868,3.970132,1.090169064,M,Kanaipang,7428,-0.208865612,1.709990332,-1.918855944,-0.122144323,16,4,34.28571429,12,0,-8,-8,0.5,0.25,5,,8,25.71428571,2,9,8,8,0.25,0.5,-0.25,0.333333333,-0.208865612,1.709990332,8,11,46,46,0.173913043,0.239130435,-0.065217392,0.421052631,1.381500545,2.353177962
[A771173],33.140621,21.427618,11.713003,1.546631128,M,Diambarong,7701,0.774596669,0.774596669,0,1,31.25,10,43.75,14,-12.5,-4,-4,0.416666667,0.416666667,2,,18.75,46.875,6,15,9,9,0.111111111,0.111111111,0,0.5,0.774596669,0.774596669,3,3,9,9,0.333333333,0.333333333,0,0.5,1.000510595,1.000510595
[A771179],42.849115,38.658542,4.190573,1.108399665,M,Diambarong,7702,-1.161895004,0.774596669,-1.936491673,-1.500000001,41.37931034,12,50,14,-8.62068966,-2,-2,0.452830189,0.461538462,6,,10.34482759,21.42857143,3,6,9,9,0,0.111111111,-0.111111111,0,-1.161895004,0.774596669,2,3,9,9,0.222222222,0.333333333,-0.111111111,0.4,0.214395127,1.000510595
[A771190],58.890532,59.312726,-0.422194,0.992881899,M,Diambarong,7702,-1.161895004,-1.161895004,0,1,44.82758621,13,41.93548387,13,2.89210234,0,0,0.516666667,0.5,0,,17.24137931,35.48387097,5,11,9,9,0,0,0,0,-1.161895004,-1.161895004,0,3,9,9,0,0.333333333,-0.333333333,0,-1.357835807,1.000510595
[A781145],38.5,22.711979,15.788021,1.695140701,M,Magtaracay,7801,0,0,0,0,8.695652174,2,21.73913043,5,-13.04347826,-3,-3,0.285714286,0.285714286,2,,8.695652174,39.13043478,2,9,11,8,0,0,0,0,0,0,3,3,13,13,0.230769231,0.230769231,0,0.5,0.041277122,0.041277122
[A781149],58.248539,50.079068,8.169471,1.16313145,M,Magtaracay,7802,0,0,0,0,60.86956522,14,30.43478261,7,30.43478261,7,7,0.666666667,0.666666667,3,,21.73913043,43.47826087,5,10,10,11,0,0,0,0,0,0,2,4,13,13,0.153846154,0.307692308,-0.153846154,0.333333333,-0.536602584,0.619156827
[A781155],45.726829,23.573559,22.15327,1.939750761,M,Magtaracay,7803,0,0,0,0,13.04347826,3,36.36363636,8,-23.3201581,-5,-5,0.264,0.272727273,2,,39.13043478,27.27272727,9,6,10,11,0,0,0,0,0,0,5,2,13,13,0.384615385,0.153846154,0.230769231,0.714285714,1.197036533,-0.536602584
[A781196],48,43.925125,4.074875,1.09276866,M,Magtaracay,7809,0,0,0,0,16.66666667,4,10.52631579,2,6.14035088,2,2,0.612903226,0.666666667,2,,20.83333333,10.52631579,5,2,10,6,0,0,0,0,0,0,1,0,13,13,0.076923077,0,0.076923077,1,-1.114482289,-1.692361995
[A791078],56.73446,50.012265,6.722195,1.134410929,M,Dipagsangan,7904,0.512076424,-0.511992354,1.024068778,-1.000164202,28.57142857,6,30,6,-1.42857143,0,0,0.487804878,0.5,0,,9.523809524,35,2,7,13,10,0.384615385,0.2,0.184615385,0.657894737,0.512076424,-0.511992354,5,2,22,22,0.227272727,0.090909091,0.136363636,0.714285714,1.5899327,-0.017864412
[A791080],22.783539,18.956,3.827539,1.201917018,M,Dipagsangan,7905,0.755902324,-1.621400198,2.377302522,-0.466203424,20,4,90.47619048,19,-70.47619048,-15,-15,0.181034483,0.173913043,0,,15,9.523809524,3,2,7,10,0.428571429,0,0.428571429,1,0.755902324,-1.621400198,0,2,22,22,0,0.090909091,-0.090909091,0,-1.089729154,-0.017864412
[A791082],48.948534,41.447574,7.50096,1.180974645,M,Dipagsangan,7906,0.597415489,0.042711567,0.554703922,13.98720607,18.18181818,4,26.31578947,5,-8.13397129,-1,-1,0.408602151,0.444444444,7,,13.63636364,31.57894737,3,6,10,10,0.4,0.3,0.1,0.571428571,0.597415489,0.042711567,4,2,22,22,0.181818182,0.090909091,0.090909091,0.666666667,1.054000329,-0.017864412
[A84586],42.845203,41.774581,1.070622,1.025628551,M,Diabut,8401,-0.576352388,0.700089058,-1.276441446,-0.823255815,14.28571429,5,14.70588235,5,-0.42016806,0,0,0.492753623,0.5,4,,25.71428571,32.35294118,9,11,8,6,0.5,0.666666667,-0.166666667,0.428571428,-0.576352388,0.700089058,2,1,14,14,0.142857143,0.071428571,0.071428572,0.666666668,-0.638000791,-1.196251484
[A84592],24.851313,18.78,6.071313,1.323286102,M,Diabut,8401,-1.00183287,-0.029306054,-0.972526816,34.18518474,13.15789474,5,33.33333333,13,-20.17543859,-8,-8,0.283018868,0.277777778,1,,15.78947368,17.94871795,6,7,9,7,0.444444444,0.571428571,-0.126984127,0.4375,-1.00183287,-0.029306054,2,4,14,14,0.142857143,0.285714286,-0.142857143,0.333333333,-0.638000791,0.478500594
[A84595],35,26.634579,8.365421,1.314081218,M,Diabut,8402,-0.150871906,-1.123398722,0.972526816,0.134299517,20,6,60,12,-40,-6,-6,0.25,0.333333333,4,,10,30,3,6,9,7,0.555555556,0.428571429,0.126984127,0.564516129,-0.150871906,-1.123398722,3,5,14,14,0.214285714,0.357142857,-0.142857143,0.375,-0.079750099,1.036751286
[A84603],24.441839,18.134339,6.3075,1.347820784,M,Diabut,8403,0.700089058,1.338309781,-0.638220723,0.523114355,23.68421053,9,11.11111111,4,12.57309942,5,5,0.680672269,0.692307692,1,,10.52631579,16.66666667,4,6,6,4,0.666666667,0.75,-0.083333333,0.470588235,0.700089058,1.338309781,3,3,14,14,0.214285714,0.214285714,0,0.5,-0.079750099,-0.079750099
[A84600],62.170305,56.62873,5.541575,1.097858013,M,Diabut,8404,1.064786614,0.380978697,0.683807917,2.794871793,45.94594595,17,44.73684211,17,1.20910384,0,0,0.506666667,0.5,1,,27.02702703,39.47368421,10,15,7,8,0.714285714,0.625,0.089285714,0.533333333,1.064786614,0.380978697,0,1,14,14,0,0.071428571,-0.071428571,0,-1.754502176,-1.196251484
[A84605],29.016356,18.93882,10.077536,1.532110026,M,Diabut,8405,-1.533683472,1.064786614,-2.598470086,-1.440366973,18.42105263,7,28.20512821,11,-9.78407558,-4,-4,0.395079595,0.388888889,1,,23.68421053,28.20512821,9,11,8,7,0.375,0.714285714,-0.339285714,0.344262295,-1.533683472,1.064786614,6,4,14,14,0.428571429,0.285714286,0.142857143,0.6,1.595001978,0.478500594
